======================================
First 2 Excitation States
======================================
Init Jacobian = 
[0.99310585]
Wavefunction (Initialization)
Figure Saved.
Thermalization...
After Thermalization:	pmove 0.49	step_size=1.3566	time=86.54s
After MCMC, with initial network, loss=8.72
Iter:116, LossE=2.45494(0.01407)	 pmove=0.49	stepsize=0.9118	 time=1.46s
Iter:117, LossE=2.44473(0.01582)	 pmove=0.49	stepsize=0.9103	 time=1.46s
Iter:118, LossE=2.43529(0.01438)	 pmove=0.48	stepsize=0.9088	 time=1.46s
Iter:119, LossE=2.43007(0.01435)	 pmove=0.49	stepsize=0.9073	 time=1.46s
Iter:120, LossE=2.42234(0.01479)	 pmove=0.48	stepsize=0.9057	 time=1.46s
Iter:121, LossE=2.40937(0.01389)	 pmove=0.49	stepsize=0.9042	 time=1.46s
Iter:122, LossE=2.41130(0.01368)	 pmove=0.49	stepsize=0.9027	 time=1.46s
Iter:123, LossE=2.41285(0.01409)	 pmove=0.49	stepsize=0.9012	 time=1.46s
Iter:124, LossE=2.40450(0.01421)	 pmove=0.49	stepsize=0.8997	 time=1.46s
Iter:125, LossE=2.41608(0.01427)	 pmove=0.49	stepsize=0.8982	 time=1.46s
Iter:126, LossE=2.38982(0.01350)	 pmove=0.49	stepsize=0.8967	 time=1.46s
Iter:127, LossE=2.39245(0.01313)	 pmove=0.49	stepsize=0.8952	 time=1.46s
Iter:128, LossE=2.40250(0.01359)	 pmove=0.49	stepsize=0.8936	 time=1.46s
Iter:129, LossE=2.36629(0.01241)	 pmove=0.49	stepsize=0.8921	 time=1.46s
Iter:130, LossE=2.39935(0.01374)	 pmove=0.49	stepsize=0.8907	 time=1.46s
Iter:131, LossE=2.38947(0.01426)	 pmove=0.49	stepsize=0.8892	 time=1.46s
Iter:132, LossE=2.37095(0.01223)	 pmove=0.49	stepsize=0.8877	 time=1.46s
Iter:133, LossE=2.38356(0.01293)	 pmove=0.49	stepsize=0.8862	 time=1.46s
Iter:134, LossE=2.35207(0.01172)	 pmove=0.49	stepsize=0.8847	 time=1.46s
Iter:135, LossE=2.37138(0.01301)	 pmove=0.49	stepsize=0.8832	 time=1.46s
Iter:136, LossE=2.35304(0.01186)	 pmove=0.49	stepsize=0.8817	 time=1.46s
Iter:137, LossE=2.37168(0.01268)	 pmove=0.49	stepsize=0.8802	 time=1.46s
Iter:138, LossE=2.36667(0.01239)	 pmove=0.49	stepsize=0.8788	 time=1.46s
Iter:139, LossE=2.35879(0.01215)	 pmove=0.49	stepsize=0.8773	 time=1.46s
Iter:140, LossE=2.32826(0.01156)	 pmove=0.49	stepsize=0.8758	 time=1.46s
Iter:141, LossE=2.34691(0.01244)	 pmove=0.49	stepsize=0.8743	 time=1.46s
Iter:142, LossE=2.33358(0.01152)	 pmove=0.49	stepsize=0.8729	 time=1.46s
Iter:143, LossE=2.34341(0.01195)	 pmove=0.50	stepsize=0.8714	 time=1.46s
Iter:144, LossE=2.31467(0.01165)	 pmove=0.49	stepsize=0.8699	 time=1.46s
Iter:145, LossE=2.33163(0.01178)	 pmove=0.49	stepsize=0.8685	 time=1.46s
Iter:146, LossE=2.31399(0.01198)	 pmove=0.49	stepsize=0.8670	 time=1.46s
Iter:147, LossE=2.34309(0.01247)	 pmove=0.50	stepsize=0.8656	 time=1.46s
Iter:148, LossE=2.32025(0.01198)	 pmove=0.50	stepsize=0.8641	 time=1.46s
Iter:149, LossE=2.32621(0.01247)	 pmove=0.49	stepsize=0.8627	 time=1.46s
Iter:150, LossE=2.32640(0.01166)	 pmove=0.50	stepsize=0.8612	 time=1.46s
Iter:151, LossE=2.33897(0.01227)	 pmove=0.50	stepsize=0.8598	 time=1.46s
Iter:152, LossE=2.30257(0.01174)	 pmove=0.50	stepsize=0.8583	 time=1.46s
Iter:153, LossE=2.29326(0.01162)	 pmove=0.50	stepsize=0.8569	 time=1.46s
Iter:154, LossE=2.29027(0.01097)	 pmove=0.50	stepsize=1.0456	 time=1.46s
Iter:155, LossE=2.30662(0.01126)	 pmove=0.50	stepsize=1.0438	 time=1.46s
Iter:156, LossE=2.28313(0.01086)	 pmove=0.50	stepsize=0.8526	 time=1.46s
Iter:157, LossE=2.31416(0.01154)	 pmove=0.50	stepsize=1.0403	 time=1.46s
Iter:158, LossE=2.30729(0.01217)	 pmove=0.50	stepsize=0.8497	 time=1.46s
Iter:159, LossE=2.30711(0.01169)	 pmove=0.50	stepsize=1.0368	 time=1.46s
Iter:160, LossE=2.29356(0.01135)	 pmove=0.50	stepsize=1.0351	 time=1.46s
Iter:161, LossE=2.28592(0.01078)	 pmove=0.50	stepsize=1.0333	 time=1.46s
Iter:162, LossE=2.30666(0.01214)	 pmove=0.50	stepsize=1.0316	 time=1.46s
Iter:163, LossE=2.28445(0.01107)	 pmove=0.50	stepsize=1.0299	 time=1.46s
Iter:164, LossE=2.28697(0.01099)	 pmove=0.50	stepsize=1.0281	 time=1.46s
Iter:165, LossE=2.27523(0.01083)	 pmove=0.51	stepsize=1.0264	 time=1.46s
Iter:166, LossE=2.26613(0.01054)	 pmove=0.51	stepsize=1.0247	 time=1.46s
Iter:167, LossE=2.28292(0.01088)	 pmove=0.50	stepsize=1.0230	 time=1.46s
Iter:168, LossE=2.27489(0.01073)	 pmove=0.51	stepsize=1.0212	 time=1.46s
Iter:169, LossE=2.26706(0.01025)	 pmove=0.50	stepsize=1.0195	 time=1.46s
Iter:170, LossE=2.26134(0.01067)	 pmove=0.50	stepsize=1.0178	 time=1.46s
Iter:171, LossE=2.25435(0.00997)	 pmove=0.50	stepsize=1.0161	 time=1.46s
Iter:172, LossE=2.27214(0.01050)	 pmove=0.51	stepsize=1.0144	 time=1.46s
Iter:173, LossE=2.25537(0.01017)	 pmove=0.51	stepsize=1.0127	 time=1.46s
Iter:174, LossE=2.25021(0.00991)	 pmove=0.51	stepsize=1.0110	 time=1.46s
Iter:175, LossE=2.25691(0.01014)	 pmove=0.51	stepsize=1.0093	 time=1.46s
Iter:176, LossE=2.25244(0.00999)	 pmove=0.51	stepsize=1.0076	 time=1.46s
Iter:177, LossE=2.24905(0.00999)	 pmove=0.51	stepsize=1.0059	 time=1.46s
Iter:178, LossE=2.23068(0.00985)	 pmove=0.51	stepsize=1.0042	 time=1.46s
Iter:179, LossE=2.23602(0.01010)	 pmove=0.51	stepsize=1.0025	 time=1.46s
Iter:180, LossE=2.23499(0.00991)	 pmove=0.51	stepsize=1.0009	 time=1.46s
Iter:181, LossE=2.23345(0.01029)	 pmove=0.51	stepsize=0.9992	 time=1.46s
Iter:182, LossE=2.21619(0.00973)	 pmove=0.51	stepsize=0.9975	 time=1.46s
Iter:183, LossE=2.22986(0.00957)	 pmove=0.51	stepsize=0.9958	 time=1.46s
Iter:184, LossE=2.22175(0.00958)	 pmove=0.51	stepsize=0.9942	 time=1.46s
Iter:185, LossE=2.22941(0.00970)	 pmove=0.51	stepsize=0.9925	 time=1.46s
Iter:186, LossE=2.21691(0.00932)	 pmove=0.51	stepsize=0.9908	 time=1.46s
Iter:187, LossE=2.22511(0.01101)	 pmove=0.51	stepsize=0.9892	 time=1.46s
Iter:188, LossE=2.23692(0.01014)	 pmove=0.51	stepsize=0.9875	 time=1.46s
Iter:189, LossE=2.20288(0.00903)	 pmove=0.51	stepsize=0.9858	 time=1.46s
Iter:190, LossE=2.22192(0.00972)	 pmove=0.51	stepsize=0.9842	 time=1.46s
Iter:191, LossE=2.20346(0.00949)	 pmove=0.51	stepsize=0.9825	 time=1.46s
Iter:192, LossE=2.20921(0.00914)	 pmove=0.52	stepsize=0.9809	 time=1.46s
Iter:193, LossE=2.20916(0.00961)	 pmove=0.51	stepsize=0.9792	 time=1.46s
Iter:194, LossE=2.20306(0.00903)	 pmove=0.51	stepsize=0.9776	 time=1.46s
Iter:195, LossE=2.20296(0.00951)	 pmove=0.52	stepsize=0.9760	 time=1.46s
Iter:196, LossE=2.21275(0.00957)	 pmove=0.52	stepsize=0.9743	 time=1.46s
Iter:197, LossE=2.19524(0.00897)	 pmove=0.52	stepsize=0.9727	 time=1.46s
Iter:198, LossE=2.19468(0.00915)	 pmove=0.52	stepsize=0.9710	 time=1.46s
Iter:199, LossE=2.19018(0.00910)	 pmove=0.52	stepsize=0.9694	 time=1.46s
Iter:200, LossE=2.19210(0.00921)	 pmove=0.52	stepsize=0.9678	 time=1.46s
Iter:201, LossE=2.17626(0.00890)	 pmove=0.52	stepsize=0.9662	 time=1.46s
Iter:202, LossE=2.19089(0.00956)	 pmove=0.52	stepsize=0.9645	 time=1.46s
Iter:203, LossE=2.18807(0.00858)	 pmove=0.52	stepsize=0.9629	 time=1.46s
Iter:204, LossE=2.18097(0.00847)	 pmove=0.52	stepsize=0.9613	 time=1.46s
Iter:205, LossE=2.16702(0.00822)	 pmove=0.52	stepsize=0.9597	 time=1.46s
Iter:206, LossE=2.17465(0.00858)	 pmove=0.52	stepsize=0.9581	 time=1.46s
